Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Topic
"A microrespirometer measures O₂ consumption in germinating peas treated with malonate (a competitive inhibitor of succinate dehydrogenase). The seeds are also incubated at different temperatures. Which result would support the combined effects of enzyme inhibition and temperature on respiration?","At high temperature, malonate increases the slope of oxygen consumption because succinate dehydrogenase activity is bypassed.","At low temperature, malonate has little effect; at higher temperature, both the inhibitor and increased kinetic energy decrease O₂ consumption rate because complex II is inhibited and enzymes denature.","Malonate stimulates the citric acid cycle, increasing O₂ consumption at all temperatures.","Temperature has no effect on O₂ consumption when malonate is present because complex II is the only rate-determining step.",B,"At low temperature, malonate shows little effect due to slow kinetics; at high temperature, malonate inhibition combines with potential enzyme denaturation to reduce O₂ consumption.",Hard,"ETC inhibitor (malonate) & temperature effects"
"Which combination of statements about fatty acid catabolism, the urea cycle and gluconeogenesis during starvation is accurate?","β-oxidation supplies acetyl-CoA and NADH to drive gluconeogenesis; amino acid deamination produces ammonia that enters the urea cycle, and fumarate generated in the urea cycle replenishes the citric acid cycle.","β-oxidation produces glucose directly; nitrogen from amino acids is excreted as uric acid; the urea cycle consumes NADH generated from ketone bodies.","Fatty acid oxidation supplies oxaloacetate for gluconeogenesis; the urea cycle produces ketone bodies; gluconeogenesis occurs only in muscle.","β-oxidation lowers acetyl-CoA levels, inhibiting gluconeogenesis; ammonia is converted into urea via the electron transport chain.",A,"During starvation, β-oxidation provides energy for gluconeogenesis, amino acid deamination produces ammonia for the urea cycle, and fumarate links the urea cycle to energy metabolism.",Hard,"Integrated starvation metabolism (fat, urea cycle, gluconeogenesis)"
"A red blood cell (RBC) in the bloodstream encounters arsenate, an inhibitor that uncouples substrate-level phosphorylation in glycolysis by mimicking phosphate. Predict how ATP production, lactate formation and NAD⁺ regeneration will be affected in RBCs.","ATP production increases because arsenate supplies extra phosphate; lactate formation decreases because NADH is oxidized directly in the ETC.","ATP production decreases because arsenate bypasses the phosphoglycerate kinase step; lactate formation continues to regenerate NAD⁺ as pyruvate is reduced.","ATP production is unaffected; arsenate acts only in mitochondria.","ATP production increases; lactate formation ceases and NAD⁺ accumulates.",B,"Arsenate uncouples substrate-level phosphorylation, reducing ATP production from glycolysis; lactate formation continues to regenerate NAD⁺.",Medium,"Glycolysis poison (arsenate) in RBCs"
"Rotenone inhibits complex I of the ETC. In an experiment, two sets of germinating seeds are placed in respirometers: one treated with rotenone, the other untreated. Both respirometers contain KOH to absorb CO₂. Predict the relative changes in volume inside the pipettes and explain the mechanism.","The rotenone-treated respirometer will show an increased rate of gas volume decrease because electrons bypass complex I, enhancing O₂ consumption.","The rotenone-treated respirometer will show a reduced rate of gas volume decrease because NADH cannot transfer electrons to the ETC at complex I; FADH₂ enters at complex II but pumps fewer protons, lowering O₂ consumption.","Both respirometers will show identical rates because KOH absorbs CO₂.","The untreated respirometer will show no change in gas volume because CO₂ absorption by KOH prevents any movement of the fluid.",B,"Rotenone blocks complex I, preventing NADH oxidation; only FADH₂ can enter at complex II, reducing overall O₂ consumption and the rate of volume decrease.",Medium,"Respirometry with ETC inhibitor (rotenone)"
"A liver cell in a fasted state is oxidizing fatty acids and performing gluconeogenesis. If the ratio of ATP/ADP is high, how does this affect phosphofructokinase-1, pyruvate dehydrogenase and citrate synthase activities, and what is the consequence for glucose production?","High ATP inhibits PFK-1 and pyruvate dehydrogenase, leading to accumulation of acetyl-CoA; citrate synthase is activated, funneling acetyl-CoA into the citric acid cycle, reducing gluconeogenesis.","High ATP inhibits PFK-1 and pyruvate dehydrogenase; citrate synthase slows because oxaloacetate is used for gluconeogenesis; this favors conversion of pyruvate to oxaloacetate, stimulating glucose production.","High ATP activates all three enzymes, boosting the citric acid cycle and decreasing gluconeogenesis.","ATP level has no effect on these enzymes, so gluconeogenesis proceeds independently of energy status.",B,"High ATP inhibits PFK-1 and pyruvate dehydrogenase while oxaloacetate is diverted to gluconeogenesis, slowing citrate synthase and favoring glucose production.",Hard,"Fasted liver – regulation of glycolysis, PDH & CAC"
"In an experiment, mitochondria are isolated and provided with malate, ADP and inorganic phosphate. Oxygen consumption and ATP synthesis proceed at a steady rate. When citrate accumulates to high levels in the matrix, malate levels decline. What effect will this have on the citric acid cycle and glycolysis in intact cells, and why?","High citrate inhibits PFK-1 in the cytosol, slowing glycolysis; it also inhibits citrate synthase in the matrix, reducing citric acid cycle flux and causing malate to accumulate in the cytosol.","Citrate activates PFK-1, accelerating glycolysis and increasing NADH production.","Citrate directly increases malate production, enhancing the citric acid cycle and glycolysis.","Citrate has no regulatory roles in either pathway.",A,"High citrate inhibits both PFK-1 (slowing glycolysis) and citrate synthase (slowing the citric acid cycle), creating feedback inhibition that coordinates energy metabolism.",Hard,"Feedback between citrate, glycolysis & CAC"
"A plant cell receives strong light and has abundant ATP and NADPH from photosynthesis, but the Calvin cycle is limited by low CO₂. How does this affect mitochondrial respiration, the malate valve and the balance between NADH and NAD⁺ in the matrix?","Mitochondrial respiration decreases; the malate valve exports excess reducing power from chloroplasts to mitochondria; NADH levels in the matrix rise, inhibiting the citric acid cycle.","Mitochondrial respiration increases; ATP synthase runs backward, pumping protons into the intermembrane space; NAD⁺ accumulates.","Chloroplasts import NADH from mitochondria via the malate valve; mitochondrial respiration stops.","The malate valve transfers ATP into chloroplasts; NADH levels remain unchanged.",A,"With excess photosynthetic reducing power and limited CO₂, the malate valve exports reductant to mitochondria, increasing NADH/NAD⁺ ratio and inhibiting respiration.",Hard,"Malate valve & chloroplast–mitochondria interaction"
"Carbon monoxide (CO) binds to hemoglobin and also inhibits cytochrome c oxidase (complex IV). In tissues exposed to CO, which processes are directly affected, and what are the consequences for ATP production and oxygen consumption?","CO prevents oxygen from reaching tissues but leaves complex IV unaffected; ATP synthesis continues via oxidative phosphorylation.","CO reduces oxygen delivery and inhibits complex IV; electron transport and proton pumping stop, leading to decreased oxygen consumption and cessation of ATP synthesis.","CO acts as an uncoupler, increasing oxygen consumption and heat production.","CO stimulates complex II activity and increases FADH₂ oxidation.",B,"CO reduces oxygen delivery (hemoglobin binding) and blocks complex IV, stopping electron transport, proton pumping, and ATP synthesis.",Medium,"CO poisoning – hemoglobin & complex IV"
"During prolonged aerobic exercise, skeletal muscle gradually shifts from predominantly carbohydrate oxidation to increased fatty acid oxidation. How does this shift affect the respiratory quotient (RQ), the ratio of NADH produced per carbon oxidized and the reliance on glycolysis?","RQ increases, NADH/CO₂ ratio decreases and glycolytic flux rises.","RQ decreases toward ~0.7, NADH per carbon oxidized remains similar but electron flow per O₂ increases; reliance on glycolysis declines as β-oxidation provides ATP.","RQ stays at 1.0, NADH/CO₂ ratio increases, and glycolysis accelerates.","RQ fluctuates randomly; these shifts have no effect on glycolysis.",B,"Shift to fat oxidation decreases RQ to ~0.7, maintains similar NADH/carbon ratios but increases electron flow, reducing glycolytic dependence.",Medium,"Exercise metabolism – fuel shift & RQ"
"A novel inhibitor blocks the ADP/ATP translocase in the inner mitochondrial membrane. Predict the immediate effects on oxidative phosphorylation, proton gradient, electron transport rate and cytosolic ATP levels.","Oxidative phosphorylation continues; the proton gradient dissipates; electron transport speeds up; cytosolic ATP rises.","ADP cannot enter the matrix, so ATP synthase slows; the proton gradient increases; electron transport slows due to back pressure; cytosolic ATP levels fall.","Blocking the translocase increases ATP export; electron transport and proton pumping accelerate.","The inhibitor affects only substrate-level phosphorylation; oxidative phosphorylation proceeds normally.",B,"Blocking ADP/ATP translocase prevents ADP entry, slowing ATP synthase and creating back pressure that reduces electron transport; cytosolic ATP falls.",Hard,"ADP/ATP translocase & control of ETC"
"A cell line lacks glycerol-3-phosphate dehydrogenase in the cytosol. Which processes will be impaired, and how will this influence the ATP yield from glycolysis and oxidative phosphorylation?","The malate–aspartate shuttle is blocked; cytosolic NADH cannot enter mitochondria, reducing ATP yield from glycolysis.","The glycerol-3-phosphate shuttle is non-functional; electrons cannot pass to FAD in the inner membrane; ATP yield per cytosolic NADH increases because the malate–aspartate shuttle becomes dominant.","Beta-oxidation is halted; pyruvate is converted exclusively to lactate.","Electron transport chain complexes are inhibited; ATP synthase reverses.",B,"Without cytosolic glycerol-3-phosphate dehydrogenase, the G3P shuttle is blocked, forcing use of the malate–aspartate shuttle and increasing ATP yield per cytosolic NADH.",Hard,"Shuttle choice & ATP yield"
"A scientist isolates mitochondria and provides succinate, rotenone and ADP. Oxygen consumption is measured. Compared with mitochondria supplied with malate and ADP without inhibitors, what differences in oxygen consumption and proton pumping would you expect, and why?","Oxygen consumption and proton pumping are similar because succinate oxidation at complex II and malate oxidation at complex I produce the same number of protons.","With succinate and rotenone, electrons bypass complex I; oxygen consumption continues but proton pumping decreases because complex II does not pump protons.","Oxygen consumption stops because succinate oxidation requires complex I.","Proton pumping increases because complex II pumps more protons per electron than complex I.",B,"Succinate oxidation bypasses complex I (blocked by rotenone), so oxygen consumption continues but proton pumping is reduced because complex II doesn't pump protons.",Hard,"Complex II vs I – ETC & proton pumping"
"A plant cell performs photorespiration when RuBisCO fixes O₂. Describe how mitochondria are involved and how this process affects the overall energy balance compared with mitochondrial respiration.","Mitochondria convert glycine to serine, releasing CO₂ and NH₃; photorespiration consumes ATP and does not produce ATP, making it energetically costly compared with mitochondrial respiration.","Mitochondria in photorespiration produce more ATP than in regular respiration because oxygen is directly fixed.","Photorespiration bypasses mitochondria entirely and produces the same ATP as respiration.","Mitochondria convert serine to glycine, producing ATP equivalent to normal respiration.",A,"In photorespiration, mitochondria convert glycine to serine (releasing CO₂ and NH₃), but the process consumes ATP without producing any, making it energetically wasteful.",Medium,"Photorespiration vs mitochondrial respiration"
